,type,topic,subject,data
0,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '1.8519883', 'bestBid': '3092.61', 'bestBidSize': '12.0915456', 'price': '3092.76', 'sequence': '1626466732175', 'size': '0.01', 'time': 1650558723346}"
1,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41913.3', 'bestAskSize': '0.20115914', 'bestBid': '41913.2', 'bestBidSize': '6.31316667', 'price': '41913.3', 'sequence': '1628076253144', 'size': '0.00098116', 'time': 1650558723375}"
2,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '1.8519883', 'bestBid': '3092.61', 'bestBidSize': '12.0915456', 'price': '3092.76', 'sequence': '1626466732244', 'size': '0.01', 'time': 1650558723446}"
3,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41913.6', 'bestAskSize': '0.00091495', 'bestBid': '41913.5', 'bestBidSize': '0.00079548', 'price': '41913.3', 'sequence': '1628076253286', 'size': '0.00001088', 'time': 1650558723476}"
4,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '1.8519883', 'bestBid': '3092.61', 'bestBidSize': '12.0915456', 'price': '3092.76', 'sequence': '1626466732281', 'size': '0.01', 'time': 1650558723546}"
5,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.22865898', 'bestBid': '41918.1', 'bestBidSize': '2.64334478', 'price': '41916.5', 'sequence': '1628076253600', 'size': '0.00063055', 'time': 1650558723575}"
6,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '0.4809894', 'bestBid': '3092.61', 'bestBidSize': '15.3440601', 'price': '3092.62', 'sequence': '1626466732507', 'size': '1.5044197', 'time': 1650558723647}"
7,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.22865898', 'bestBid': '41918.1', 'bestBidSize': '2.74366067', 'price': '41916.5', 'sequence': '1628076253887', 'size': '0.00063055', 'time': 1650558723676}"
8,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '2.0669414', 'bestBid': '3092.74', 'bestBidSize': '33.4146668', 'price': '3092.62', 'sequence': '1626466732722', 'size': '0.0399829', 'time': 1650558723747}"
9,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.38028944', 'bestBid': '41918.1', 'bestBidSize': '2.8520457', 'price': '41916.5', 'sequence': '1628076253981', 'size': '0.00063055', 'time': 1650558723781}"
